entity,left,right,log_ratio
🏍,2,7,-1.415037499
viktor orbán,2,7,-1.415037499
🤡🤡🤡🤡🤡🤡,2,7,-1.415037499
alain peyrefitte,2,7,-1.415037499
flandre,2,7,-1.415037499
mozart,11,31,-1.415037499
descartes,2,7,-1.415037499
ric,2,7,-1.415037499
yakovleff,2,7,-1.415037499
monsieur,2,7,-1.415037499
molière,5,15,-1.415037499
moreau,2,7,-1.415037499
subversion,2,7,-1.415037499
hamas,7,2,1.415037499
willy,7,2,1.415037499
slimane,7,2,1.415037499
😂😂😂😂😂😂,7,2,1.415037499
morlaix,7,2,1.415037499
st germain,7,2,1.415037499
pays basque,7,2,1.415037499
france 2,47,17,1.415037499
watson,7,2,1.415037499
tgv,31,11,1.415037499
puy-de-dôme,7,2,1.415037499
shein,15,5,1.415037499
jules,7,2,1.415037499
oslo,7,2,1.415037499
marianne,7,2,1.415037499
video,7,2,1.415037499
france3,15,5,1.415037499
wa,7,2,1.415037499
vénézuela,7,2,1.415037499
mediapart,7,2,1.415037499
lareunion,7,2,1.415037499
villeneuve,7,2,1.415037499
stéphane plaza,7,2,1.415037499
la joconde,7,2,1.415037499
dieppe,7,2,1.415037499
neuilly,7,2,1.415037499
nétanyahou,7,2,1.415037499
cij,15,5,1.415037499
squeezie,7,2,1.415037499
lrem,23,8,1.415037499
tps,23,8,1.415037499
république démocratique du congo,15,5,1.415037499
maine,7,2,1.415037499
charles consigny,7,2,1.415037499
citroën,7,2,1.415037499
cyril,7,20,-1.392317423
soudan,33,12,1.387023123
pâques,17,46,-1.38466385
leon,4,12,-1.378511623
romains,9,25,-1.378511623
keir starmer,4,12,-1.378511623
isis,4,12,-1.378511623
municipales2026,4,12,-1.378511623
tchad,25,9,1.378511623
chypre,4,12,-1.378511623
pif,12,4,1.378511623
imbécile,25,9,1.378511623
👍🏻,4,12,-1.378511623
karim,4,12,-1.378511623
canada,76,199,-1.377069649
laval,30,11,1.36923381
nantes,119,308,-1.364572432
cheh,17,6,1.362570079
régime de vichy,17,6,1.362570079
⤵️⤵️⤵️,17,6,1.362570079
😆😆,6,17,-1.362570079
afghanistan,36,94,-1.360402243
japonais,8,22,-1.353636955
bretons,8,22,-1.353636955
sandrine rousseau,19,50,-1.350497247
gabon,12,32,-1.343954401
ciotti,32,12,1.343954401
hello,65,25,1.343954401
🙏🙏🙏,14,37,-1.341036918
🤔,14,37,-1.341036918
stp,42,16,1.338801913
françois,99,250,-1.327687364
palestiniens,453,180,1.3267026
angleterre,60,152,-1.326650505
mono,4,1,1.321928095
castelsarrasin,4,1,1.321928095
bfm-tv,4,1,1.321928095
mâcon,4,1,1.321928095
go,14,5,1.321928095
d’espagne,4,1,1.321928095
🫶🫶,4,1,1.321928095
champion de france,4,1,1.321928095
patrick bruel,4,1,1.321928095
galtier,4,1,1.321928095
aéroport de roissy,4,1,1.321928095
juan branco,9,3,1.321928095
haiti,4,1,1.321928095
jaurès,14,5,1.321928095
pro,4,1,1.321928095
place de la france,4,1,1.321928095
mdddr,4,1,1.321928095
bibi,4,1,1.321928095
cornélius,4,1,1.321928095
tel aviv,39,15,1.321928095
st paul,4,1,1.321928095
accord de paris,4,1,1.321928095
lol 🤣,4,1,1.321928095
cringe,4,1,1.321928095
mikautadze,4,1,1.321928095
kendrick,4,1,1.321928095
france-israël,4,1,1.321928095
farah,4,1,1.321928095
pfc,4,1,1.321928095
gaby,4,1,1.321928095
melun,4,1,1.321928095
louise michel,4,1,1.321928095
ssa,4,1,1.321928095
balancer,4,1,1.321928095
carla,4,1,1.321928095
ptsd,4,1,1.321928095
mobutu,4,1,1.321928095
bali,4,1,1.321928095
antoine dupont,4,1,1.321928095
le monsieur,4,1,1.321928095
fréjus,4,1,1.321928095
tuto,9,3,1.321928095
nuno,4,1,1.321928095
félicitations 🎉,4,1,1.321928095
insomnie,4,1,1.321928095
stéphane bern,4,1,1.321928095
salomon,4,1,1.321928095
think tank,4,1,1.321928095
félicitations cher,4,1,1.321928095
finkielkraut,4,1,1.321928095
sète,4,1,1.321928095
maïdan,4,1,1.321928095
jle,4,1,1.321928095
🐴,4,1,1.321928095
lgbtphobie,4,1,1.321928095
licra,9,3,1.321928095
super bowl,4,1,1.321928095
guardian,4,1,1.321928095
georges clemenceau,4,1,1.321928095
man u,4,1,1.321928095
👉🏼,4,1,1.321928095
revel,4,1,1.321928095
🫣🫣,4,1,1.321928095
gta 6,4,1,1.321928095
corbière,4,1,1.321928095
aha,9,3,1.321928095
cpp,4,1,1.321928095
🛜,4,1,1.321928095
waouh !,4,1,1.321928095
jpmorgan,4,1,1.321928095
bambara,4,1,1.321928095
francois bayrou,4,1,1.321928095
tu vas,4,1,1.321928095
khartoum,4,1,1.321928095
thomas sotto,4,1,1.321928095
roland,4,1,1.321928095
forceouvriere,4,1,1.321928095
maurras,4,1,1.321928095
mohamed sifaoui,4,1,1.321928095
lecornu,4,1,1.321928095
jérémie,4,1,1.321928095
geneviève,4,1,1.321928095
y',4,1,1.321928095
bradley,4,1,1.321928095
coupe d’europe,4,1,1.321928095
totalenergies,9,3,1.321928095
h2,4,1,1.321928095
royaume du maroc,4,1,1.321928095
dunkerque,34,13,1.321928095
hotel,4,1,1.321928095
t4,4,1,1.321928095
pontoise,4,1,1.321928095
kfir bibas,4,1,1.321928095
aéroport d’orly,4,1,1.321928095
amazonie,9,3,1.321928095
almada,4,1,1.321928095
anna,4,1,1.321928095
pn,4,1,1.321928095
🤫🤫🤫,4,1,1.321928095
🧙,4,1,1.321928095
cma-cgm,4,1,1.321928095
perplexity,4,1,1.321928095
la manche,4,1,1.321928095
week-end,4,1,1.321928095
draft,4,1,1.321928095
gluksmann,4,1,1.321928095
republique,4,1,1.321928095
pharos,9,3,1.321928095
nolan,4,1,1.321928095
jean-marc morandini,4,1,1.321928095
apple intelligence,4,1,1.321928095
kolher,4,1,1.321928095
andrea,4,1,1.321928095
m8,4,1,1.321928095
chili,14,5,1.321928095
bastien,9,3,1.321928095
d2,4,1,1.321928095
gilles kepel,4,1,1.321928095
la provence,4,1,1.321928095
🤍,39,15,1.321928095
akira,4,1,1.321928095
augustin,4,1,1.321928095
tt,4,1,1.321928095
benatia,4,1,1.321928095
femmevieliberté,4,1,1.321928095
cea,9,3,1.321928095
mtp,4,1,1.321928095
arménie,4,1,1.321928095
de metz,4,1,1.321928095
🇪🇸,4,1,1.321928095
lucien,4,1,1.321928095
c0n,4,1,1.321928095
👍👍,3,9,-1.321928095
windows 11,1,4,-1.321928095
!!!,1,4,-1.321928095
salazar,1,4,-1.321928095
al-andalus,1,4,-1.321928095
xi,1,4,-1.321928095
calédoniens,1,4,-1.321928095
ben voila,1,4,-1.321928095
brice lalonde,1,4,-1.321928095
lombard,1,4,-1.321928095
macron bayrou,1,4,-1.321928095
jean-luc mélanchon,1,4,-1.321928095
benito mussolini,1,4,-1.321928095
bfmtv !,1,4,-1.321928095
⤵️⤵️,1,4,-1.321928095
fico,1,4,-1.321928095
mathilde panot,7,19,-1.321928095
mensonge,1,4,-1.321928095
la rdc,1,4,-1.321928095
🙏🏻🙏🏻🙏🏻,1,4,-1.321928095
brabeck-letmathe,1,4,-1.321928095
boubakar,1,4,-1.321928095
d'espagne,1,4,-1.321928095
romane tardy,1,4,-1.321928095
juju,1,4,-1.321928095
churchill,7,19,-1.321928095
mélanie,1,4,-1.321928095
michel-ange,1,4,-1.321928095
frédéric baldan,1,4,-1.321928095
ue 🇪🇺,1,4,-1.321928095
nicolas vidal,1,4,-1.321928095
la boomeuse,1,4,-1.321928095
medhi,1,4,-1.321928095
accords d'evian,1,4,-1.321928095
gilles verdez,1,4,-1.321928095
deux-sèvres,1,4,-1.321928095
adama,1,4,-1.321928095
👍👍👍👍,1,4,-1.321928095
rhin,3,9,-1.321928095
stasi,3,9,-1.321928095
😘😘😘😘,1,4,-1.321928095
st martin,1,4,-1.321928095
mahmoud abbas,1,4,-1.321928095
vincent reynouard,1,4,-1.321928095
👍👏👏👏,1,4,-1.321928095
gendarmerie nationale,1,4,-1.321928095
gilles-william goldnadel,1,4,-1.321928095
saint-pétersbourg,1,4,-1.321928095
jules ferry,1,4,-1.321928095
beye,1,4,-1.321928095
dole,1,4,-1.321928095
marche blanche,1,4,-1.321928095
dinard,1,4,-1.321928095
robert fico,1,4,-1.321928095
zoé sagan,1,4,-1.321928095
la leçon,1,4,-1.321928095
peace and love,1,4,-1.321928095
👍😉,1,4,-1.321928095
aude,1,4,-1.321928095
sarkosy,1,4,-1.321928095
fessenheim,1,4,-1.321928095
michel maffesoli,1,4,-1.321928095
ps1,1,4,-1.321928095
brin,1,4,-1.321928095
pros,3,9,-1.321928095
sofia benlemmane,1,4,-1.321928095
enzo,1,4,-1.321928095
mmlp,1,4,-1.321928095
guyanais,1,4,-1.321928095
patrick,5,14,-1.321928095
joe rogan,1,4,-1.321928095
ouragan milton,1,4,-1.321928095
jérôme guedj,3,9,-1.321928095
vincent trémolet,1,4,-1.321928095
🐒,1,4,-1.321928095
jean-philippe tanguy,3,9,-1.321928095
michel cymes,1,4,-1.321928095
🛑,1,4,-1.321928095
figaro magazine,1,4,-1.321928095
damien rieu,1,4,-1.321928095
ben nan,1,4,-1.321928095
bise,1,4,-1.321928095
hé,1,4,-1.321928095
gilbert collard,1,4,-1.321928095
friedrich nietzsche,1,4,-1.321928095
🤬🤬,1,4,-1.321928095
kash patel,1,4,-1.321928095
jura,3,9,-1.321928095
jacques baud,3,9,-1.321928095
️ce,1,4,-1.321928095
bill gates,1,4,-1.321928095
doualemn,1,4,-1.321928095
marne,7,19,-1.321928095
château de versailles,1,4,-1.321928095
dmitri peskov,1,4,-1.321928095
commonwealth,1,4,-1.321928095
lci !,1,4,-1.321928095
henri guaino,1,4,-1.321928095
france telecom,1,4,-1.321928095
😮🤔,1,4,-1.321928095
😅🤣,3,9,-1.321928095
gunn,1,4,-1.321928095
yom hashoah,1,4,-1.321928095
bah c’,1,4,-1.321928095
caca,1,4,-1.321928095
baal,1,4,-1.321928095
mrap,1,4,-1.321928095
🤬🤮🤮🤮,1,4,-1.321928095
syriens,1,4,-1.321928095
institut montaigne,1,4,-1.321928095
cest,1,4,-1.321928095
pcc,5,14,-1.321928095
jack london,1,4,-1.321928095
parolin,1,4,-1.321928095
ankara,1,4,-1.321928095
jeffrey,3,9,-1.321928095
lampedusa,1,4,-1.321928095
spinoza,3,9,-1.321928095
😄😄,1,4,-1.321928095
gazprom,1,4,-1.321928095
loreine,1,4,-1.321928095
fête de pâques,1,4,-1.321928095
robert boulin,1,4,-1.321928095
jeanlucmélenchon,1,4,-1.321928095
taré,1,4,-1.321928095
indiens,3,9,-1.321928095
fédération du de paris,1,4,-1.321928095
madame hidalgo,1,4,-1.321928095
thaïs,1,4,-1.321928095
vucic,1,4,-1.321928095
amnesty,1,4,-1.321928095
ap,1,4,-1.321928095
pietro parolin,1,4,-1.321928095
la france,2580,6421,-1.315092524
ds,133,53,1.311201688
israel,41,16,1.304854582
mitterrand,36,90,-1.298341275
nicolas,21,53,-1.295455884
empire ottoman,10,26,-1.295455884
l'amérique,10,26,-1.295455884
africains,30,75,-1.293731203
satan,26,65,-1.289506617
🙄,6,16,-1.280107919
turcs,6,16,-1.280107919
françois fillon,6,16,-1.280107919
inde,62,152,-1.280107919
drôme,6,16,-1.280107919
jean-michel,6,16,-1.280107919
camus,6,16,-1.280107919
amérique du sud,6,16,-1.280107919
ripoublique,16,6,1.280107919
rtl,28,11,1.273018494
eelv,76,31,1.266786541
guillaume,23,9,1.263034406
vladimir,4,11,-1.263034406
tesla,11,4,1.263034406
socrate,4,11,-1.263034406
vierge marie,4,11,-1.263034406
😉😂,4,11,-1.263034406
terre,4,11,-1.263034406
rhône,11,4,1.263034406
xavier niel,11,4,1.263034406
banque de france,4,11,-1.263034406
joseph,4,11,-1.263034406
david guiraud,11,4,1.263034406
andy kerbrat,4,11,-1.263034406
edouard philippe,12,30,-1.253756592
l'europe,208,497,-1.2526428
pr,118,49,1.250961574
nintendo,18,7,1.247927513
julien odoul,18,7,1.247927513
obama,16,39,-1.234465254
🕊️,16,39,-1.234465254
🙏😘,2,6,-1.222392421
😂🤣,8,20,-1.222392421
arcachon,6,2,1.222392421
marco rubio,2,6,-1.222392421
benjamin duhamel,2,6,-1.222392421
dpe,20,48,-1.222392421
lfiste,2,6,-1.222392421
jean-marc aveline,2,6,-1.222392421
😗,6,2,1.222392421
elise lucet,6,2,1.222392421
bitcoin,5,13,-1.222392421
ayatollahs,2,6,-1.222392421
b,5,13,-1.222392421
eure,2,6,-1.222392421
😳,2,6,-1.222392421
françois duprat,2,6,-1.222392421
clinton,5,13,-1.222392421
notre,5,13,-1.222392421
cmp,6,2,1.222392421
nathan,2,6,-1.222392421
charles maurras,2,6,-1.222392421
🤲🏼,6,2,1.222392421
bégaudeau,2,6,-1.222392421
tfue,2,6,-1.222392421
🇩🇿,20,8,1.222392421
le gars,6,2,1.222392421
niçois,2,6,-1.222392421
cameroun,20,8,1.222392421
👍,6,2,1.222392421
cauet,6,2,1.222392421
🇪,6,2,1.222392421
🤣🤣🤣👍,2,6,-1.222392421
beaune,5,13,-1.222392421
mouloud,2,6,-1.222392421
🇰,2,6,-1.222392421
dc,20,8,1.222392421
slovaquie,2,6,-1.222392421
jadot,6,2,1.222392421
assange,6,2,1.222392421
boston,6,2,1.222392421
dior,6,2,1.222392421
léaument,5,13,-1.222392421
châteauroux,6,2,1.222392421
bave,6,2,1.222392421
zero,6,2,1.222392421
j-5,6,2,1.222392421
nyc,6,2,1.222392421
amériques,2,6,-1.222392421
e. philippe,2,6,-1.222392421
geo,6,2,1.222392421
bucarest,2,6,-1.222392421
lio,6,2,1.222392421
gaulois,5,13,-1.222392421
jérôme,6,2,1.222392421
tj,6,2,1.222392421
congolais,13,5,1.222392421
galilée,2,6,-1.222392421
boeing,6,2,1.222392421
iii,2,6,-1.222392421
vire,2,6,-1.222392421
bruno bernard,2,6,-1.222392421
&amp,48,20,1.222392421
venez,6,2,1.222392421
karl olive,2,6,-1.222392421
clemenceau,2,6,-1.222392421
tchétchènes,2,6,-1.222392421
c1,13,5,1.222392421
bagnolet,6,2,1.222392421
biden,45,106,-1.21790503
marseillais,57,24,1.214124805
kiev,40,94,-1.212303604
rwanda,52,22,1.204358499
🤣😂,9,22,-1.201633861
l’amérique,9,22,-1.201633861
afd,9,22,-1.201633861
gérard depardieu,22,9,1.201633861
france télévisions,6,15,-1.192645078
grecs,6,15,-1.192645078
roubaix,15,6,1.192645078
mac,13,31,-1.192645078
catherine,15,6,1.192645078
lyonnais,15,6,1.192645078
giec,15,6,1.192645078
var,56,24,1.189033824
corée du nord,17,40,-1.187627003
édouard philippe,21,49,-1.184424571
meloni,21,49,-1.184424571
concorde,10,24,-1.184424571
😫,24,10,1.184424571
vauban,10,24,-1.184424571
shoah,67,29,1.180572246
m23,33,14,1.180572246
ouin ouin ouin,8,3,1.169925001
☝️,7,17,-1.169925001
fsb,3,8,-1.169925001
allah ta3ala,8,3,1.169925001
qd,8,3,1.169925001
la haye,8,3,1.169925001
casablanca,8,3,1.169925001
bourget,8,3,1.169925001
🔽,11,26,-1.169925001
gérard darmon,8,3,1.169925001
mickael,8,3,1.169925001
stop,3,8,-1.169925001
cachemire,3,8,-1.169925001
macrondémission,3,8,-1.169925001
hénin-beaumont,3,8,-1.169925001
vikings,3,8,-1.169925001
👁,8,3,1.169925001
game,8,3,1.169925001
mao,3,8,-1.169925001
🙏🙏🙏🙏,3,8,-1.169925001
charte de,3,8,-1.169925001
tshisekedi,3,8,-1.169925001
🥂,3,8,-1.169925001
police de paris,3,8,-1.169925001
téhéran,8,3,1.169925001
britanniques,7,17,-1.169925001
simon,8,3,1.169925001
paul valéry,8,3,1.169925001
ben c’,8,3,1.169925001
die linke,8,3,1.169925001
françois ruffin,8,3,1.169925001
cour pénale internationale,8,3,1.169925001
saint-martin,3,8,-1.169925001
faure,55,24,1.163498732
nanterre,37,16,1.160464672
ouf,28,12,1.157541277
rep,28,12,1.157541277
front national,28,12,1.157541277
orléans,13,30,-1.146841388
francfort,10,4,1.137503524
kvara,10,4,1.137503524
col blanc,10,4,1.137503524
touraine,10,4,1.137503524
bourges,10,4,1.137503524
aya nakamura,10,4,1.137503524
blum,10,4,1.137503524
belleville,10,4,1.137503524
louis xx,10,4,1.137503524
linkedin,32,14,1.137503524
moulins,10,4,1.137503524
👮,4,10,-1.137503524
new york times,4,10,-1.137503524
mohamed,9,21,-1.137503524
al-qaïda,4,10,-1.137503524
antifa,4,10,-1.137503524
prix nobel de la paix,4,10,-1.137503524
thierry breton,9,21,-1.137503524
alexis poulin,4,10,-1.137503524
cherbourg,4,10,-1.137503524
xavier dupont de ligonnès,4,10,-1.137503524
m6,45,20,1.131244533
cqfd,36,80,-1.130396637
⬇️,110,50,1.121990524
nrj12,11,25,-1.115477217
justin trudeau,5,12,-1.115477217
gisèle pelicot,12,5,1.115477217
la france 🇫🇷,5,12,-1.115477217
tour de france,12,5,1.115477217
louis aliot,12,5,1.115477217
lepen,64,29,1.115477217
ducon,11,25,-1.115477217
haha,40,18,1.109624491
grace,12,27,-1.106915204
arcom,12,27,-1.106915204
azerbaïdjan,27,12,1.106915204
lci,71,154,-1.106199404
royaume-uni,40,87,-1.101879614
jean michel,6,14,-1.099535674
hashtag,14,6,1.099535674
ena,6,14,-1.099535674
sos racisme,6,14,-1.099535674
jai,14,6,1.099535674
nîmes,6,14,-1.099535674
giscard,6,14,-1.099535674
alger,36,78,-1.094327383
jesus,31,14,1.093109404
royaume uni,7,16,-1.087462841
metz,16,7,1.087462841
fbi,7,16,-1.087462841
athènes,7,16,-1.087462841
🙏🏻,17,37,-1.078002512
brigitte macron,17,37,-1.078002512
aix,18,8,1.078002512
cia,27,58,-1.075288127
h24,39,18,1.074000581
gaule,9,20,-1.070389328
aubry,9,20,-1.070389328
volodymyr zelensky,9,20,-1.070389328
brigitte,30,64,-1.068171503
manon aubry,10,22,-1.064130337
telegram,10,22,-1.064130337
vs,24,11,1.058893689
manuel valls,26,12,1.054447784
mitterand,12,26,-1.054447784
amsterdam,26,12,1.054447784
congo,55,26,1.05246742
francais,40,84,-1.051838932
madrid,57,27,1.050626073
meta,30,14,1.047305715
jacques,15,32,-1.044394119
ukraine,633,1305,-1.042600151
reims,34,16,1.041820176
république,17,36,-1.039528364
🤬,17,36,-1.039528364
pascal,19,40,-1.03562391
tf1,122,59,1.03562391
macron,981,2003,-1.029087579
l’afrique,58,28,1.024662054
pc,114,56,1.012600037
strasbourg,144,71,1.009984089
fascho,5,2,1
mr faure,3,1,1
nestle,3,1,1
jd,6,13,-1
golem,5,2,1
🦊,1,3,-1
dati,11,5,1
edouard,3,1,1
avallon,3,1,1
ismail haniyeh,1,3,-1
benny hill,1,3,-1
matrix,5,2,1
charles baudelaire,1,3,-1
besson,3,1,1
jean-luc,3,7,-1
ccif,1,3,-1
gustave le bon,1,3,-1
napoleon,1,3,-1
jordy,3,1,1
🤡🙃,1,3,-1
moche,5,11,-1
ariège,2,5,-1
jérôme cahuzac,1,3,-1
jesoutiensc8,1,3,-1
tolisso,3,1,1
buenos aires,3,1,1
🇱🇫🇷,1,3,-1
mdma,3,1,1
monseigneur,1,3,-1
iptv,3,1,1
mi6,1,3,-1
louis xi,1,3,-1
bayeux,2,5,-1
amélie oudéa-castéra,3,1,1
bethesda,1,3,-1
gbh,3,1,1
trump 2,3,1,1
mathis,1,3,-1
montchalin,3,7,-1
paris-dakar,3,1,1
yougoslavie,4,9,-1
cap,1,3,-1
rue de rivoli,2,5,-1
benoît,1,3,-1
ibrahim traoré,1,3,-1
alésia,3,1,1
hec,5,2,1
gérald olivier,1,3,-1
tiens,2,5,-1
fac,17,8,1
wauqiez,3,1,1
académie française,1,3,-1
françois pinault,1,3,-1
thionville,1,3,-1
mouais ça,3,1,1
djt,1,3,-1
cretin,3,7,-1
jean dujardin,1,3,-1
vo,7,3,1
palestine🇵🇸,3,1,1
gb,1,3,-1
récoltez,1,3,-1
balance,4,9,-1
wahouuu,3,1,1
thibault,2,5,-1
mashallah,3,1,1
eramet,3,1,1
jean luc,8,17,-1
nouméa,1,3,-1
zoubida,1,3,-1
pff,3,1,1
georges fenech,1,3,-1
becker,3,1,1
apt,3,1,1
sofia chikirou,1,3,-1
émilie,3,1,1
jupiter,9,19,-1
leon marchand,3,1,1
dakhla,3,1,1
pck,3,1,1
geoffroy,3,1,1
lisez,3,1,1
fédération de russie,7,3,1
vaulx-en-velin,5,2,1
plf,9,4,1
arthur delaporte,2,5,-1
🎉🎉,3,1,1
ardisson,5,2,1
charles manson,1,3,-1
brad pitt,7,3,1
adolf,2,5,-1
free palestine,7,3,1
fribourg,5,2,1
✌️👍,1,3,-1
laurent ozon,1,3,-1
😰😰😰,1,3,-1
🟩🟩🟩🟩🟩,3,1,1
titus,4,9,-1
sud-kivu,3,1,1
franceinfo,25,12,1
☑️,2,5,-1
garin,3,1,1
paypal,3,1,1
mike waltz,1,3,-1
😱🤣,1,3,-1
henda,3,1,1
mysoginie,3,1,1
plfss,3,1,1
france unie,1,3,-1
sommetactionia,1,3,-1
enghien,3,1,1
sleepers,1,3,-1
tibo,1,3,-1
j. d. vance,5,2,1
️depuis,1,3,-1
carlos ghosn,3,1,1
🛡️,1,3,-1
saint-etienne,5,2,1
faitdivers,1,3,-1
🤣🤣👍,2,5,-1
aldo sterone,1,3,-1
marnais,1,3,-1
lang,1,3,-1
mémé,1,3,-1
toi c,3,1,1
coké,3,1,1
menthon,1,3,-1
😡😡😡😡😡😡😡,2,5,-1
dom,3,7,-1
😸,3,7,-1
valérie pécresse,1,3,-1
tweet,5,2,1
howard lutnick,1,3,-1
bonjour alain,1,3,-1
catherine ringer,3,1,1
boris cyrulnik,1,3,-1
ça c,11,23,-1
bravo jean,1,3,-1
️l',1,3,-1
m. philippot,1,3,-1
bloom,3,1,1
philippe de gaulle,1,3,-1
🚑,1,3,-1
ford,3,1,1
frontières,3,1,1
flamanville3,3,1,1
50ans,1,3,-1
djoko,3,1,1
reposez,2,5,-1
elisabeth lévy,1,3,-1
nfp ça,3,1,1
bravo champion,3,1,1
al-aqsa,3,1,1
jean françois,3,1,1
val d’oise,3,1,1
véronique genest,3,1,1
c’,3,1,1
anne nivat,1,3,-1
val,1,3,-1
place carnot,3,1,1
lbj,5,2,1
fabian,3,1,1
twitter c’,3,1,1
java,3,1,1
anssi,1,3,-1
francis lalanne,2,5,-1
yemen,1,3,-1
belfort,7,3,1
vonderleyen,2,5,-1
st denis,1,3,-1
lybie,7,3,1
incha allah,5,2,1
geoffroy de lagasnerie,1,3,-1
todd,5,2,1
‍↔️,1,3,-1
pqr,5,2,1
joseph goebbels,3,1,1
win-win,3,1,1
macronnie,2,5,-1
lorenzo,1,3,-1
👇🏾,1,3,-1
coûtimmigrat.dsmondialistes&amp;leurtoutgratuit(obs.immigr,3,1,1
bn,3,1,1
kif kif,3,1,1
milton,1,3,-1
🤣😅,3,7,-1
narcotraffic,1,3,-1
bah oui c’,1,3,-1
📕,5,11,-1
bravo mesdames,1,3,-1
trotsky,3,1,1
😘🇫🇷,1,3,-1
! 😂😂😂,1,3,-1
pentagone,1,3,-1
myriam,1,3,-1
calvi,1,3,-1
iraniennes,3,1,1
dcp,7,3,1
👼,3,1,1
virginia woolf,3,1,1
costa,3,1,1
département des alpes-maritimes,1,3,-1
clermont ferrand,3,1,1
twitter ça,3,1,1
laye,5,2,1
besoindeurope,3,1,1
christ !,1,3,-1
murray,5,2,1
hf,1,3,-1
hk,1,3,-1
lorenz,1,3,-1
fiat,3,7,-1
baba,1,3,-1
teol,1,3,-1
libération,1,3,-1
🖐,3,1,1
zoé,3,1,1
jonathan,1,3,-1
yasser arafat,3,1,1
raphaël,5,11,-1
kubrick,5,2,1
ta france,2,5,-1
shin bet,3,1,1
sainte russie,1,3,-1
bastia,3,7,-1
tahiti,3,7,-1
ue 🇪,1,3,-1
fox news,2,5,-1
kevin bossuet,5,2,1
🚚,3,1,1
stat,5,2,1
st ouen,3,1,1
please,3,1,1
bolivie,5,2,1
limousin,1,3,-1
toto,9,4,1
viens,3,1,1
quid,7,3,1
qatari,3,1,1
françoisbayrou,1,3,-1
publique france,5,2,1
ardennes,13,6,1
bornstein,1,3,-1
😉😁,3,1,1
juve,3,1,1
goldnadel,2,5,-1
naplouse,5,2,1
depp,3,1,1
fran,3,1,1
akhenaton,1,3,-1
🎶🎶,1,3,-1
indre-et-loire,1,3,-1
trump ça,1,3,-1
wwii,3,1,1
réunionnais,1,3,-1
trenitalia,1,3,-1
🔬,4,9,-1
ormesson,3,1,1
bob marley,3,1,1
thor,1,3,-1
gainsbourg,3,1,1
allauch,3,1,1
bravo bravo,3,1,1
sosh,1,3,-1
gallimard,2,5,-1
chypre 🇨🇾,1,3,-1
kimpembe,3,1,1
malone,3,1,1
gare de lyon,11,5,1
félon,1,3,-1
castelnau,1,3,-1
👌🏼,9,4,1
robespierre,1,3,-1
wta,2,5,-1
plan marshall,3,1,1
zelda,2,5,-1
oscar wilde,3,1,1
badinter,6,13,-1
garnier,3,1,1
zohra,5,2,1
léon blum,11,5,1
idriss aberkane,1,3,-1
lavrov,1,3,-1
robinson,5,2,1
ens,3,1,1
ivry,3,1,1
adil,3,1,1
al jazeera,3,1,1
kim jong,1,3,-1
voltaire,9,19,-1
andréa kotarac,3,1,1
bv,1,3,-1
pmr,5,2,1
lordon,3,1,1
paulwatson,3,1,1
alexeï,3,1,1
adhérez,1,3,-1
✔️,3,1,1
srebrenica,3,1,1
ernst jünger,1,3,-1
amélie ismaïli,1,3,-1
montmartre,3,7,-1
ue🇪🇺,1,3,-1
betar,3,1,1
nouveau testament,5,11,-1
mdrrrrrrrr,3,1,1
🤣🤣🤣🤣🤣🤣🤣🤣,5,11,-1
félix,5,2,1
navarre,1,3,-1
giorgia meloni,9,19,-1
kamara,3,1,1
agriculteursencolere,5,2,1
herbert léonard,1,3,-1
gramsci,3,1,1
gouvernement bayrou,3,1,1
😂🤣😅,1,3,-1
alcaraz,5,2,1
jacques paris,3,1,1
françois ier,1,3,-1
ahahaha,7,3,1
schneidermann,3,1,1
alès,2,5,-1
transsexuels,1,3,-1
fds,2,5,-1
calvados,2,5,-1
charlemagne,5,2,1
raymond aron,1,3,-1
ben c,1,3,-1
saint-brieuc,9,4,1
ben oui c',1,3,-1
pierre bousquet,3,1,1
steve witkoff,1,3,-1
nonnn,3,1,1
cdlt,1,3,-1
aéroport d'orly,1,3,-1
mélanchon,14,29,-1
kamel daoud,7,3,1
dostoïevski,2,5,-1
bolsonaro,3,1,1
cécile duflot,3,1,1
antisemite,3,1,1
incha allah ta3ala,2,5,-1
verlaine,3,1,1
paris france,3,1,1
lot,1,3,-1
étienne,1,3,-1
laetitia,1,3,-1
sonia,4,9,-1
regardez ça,1,3,-1
bahreïn,3,1,1
ouganda,5,2,1
jordi,1,3,-1
bravo la france,1,3,-1
drucker,1,3,-1
félicitations 🥳,3,1,1
🥲,5,2,1
sony,11,5,1
qi,1,3,-1
phelps,1,3,-1
🇩🇪 allemagne,3,1,1
gaffe,3,1,1
cédric,5,2,1
bordéliser,3,1,1
anouk grinberg,3,1,1
yaka,3,1,1
shanghai,5,2,1
tocqueville,1,3,-1
ça 😂😂😂,1,3,-1
brizitte,1,3,-1
villejean,1,3,-1
😡😡🤬,1,3,-1
islande,5,2,1
non c,1,3,-1
laisse ça,3,1,1
ile,1,3,-1
imane khelif,3,1,1
netanyahu !,3,1,1
florange,1,3,-1
pinterest,5,2,1
iech,3,1,1
oissel,3,1,1
flávio,3,1,1
👌👍,1,3,-1
babylonie,3,1,1
colmar,5,2,1
finlandais,1,3,-1
stv,3,1,1
clint eastwood,1,3,-1
