lemma,left,right,log_ratio,abs_log_ratio
rachel,27,10,1.347923303,1.347923303
🤞,144,56,1.347019076,1.347019076
guillotine,23,60,-1.345774837,1.345774837
siffler,60,23,1.345774837,1.345774837
dialectique,12,32,-1.343954401,1.343954401
trafiquant,25,65,-1.343954401,1.343954401
chérir,12,32,-1.343954401,1.343954401
profiteur,25,65,-1.343954401,1.343954401
abattoir,12,32,-1.343954401,1.343954401
sionisme,131,51,1.343954401,1.343954401
agresser,144,367,-1.343652866,1.343652866
ruiner,66,169,-1.343301746,1.343301746
z,40,103,-1.342887714,1.342887714
goat,70,27,1.342392197,1.342392197
pompidou,14,37,-1.341036918,1.341036918
envergure,14,37,-1.341036918,1.341036918
docile,14,37,-1.341036918,1.341036918
⭐,156,61,1.340424439,1.340424439
parental,80,31,1.339850003,1.339850003
ns,123,48,1.339486466,1.339486466
moelle,16,42,-1.338801913,1.338801913
écologique,257,101,1.338801913,1.338801913
pan,18,47,-1.337034987,1.337034987
procurer,18,47,-1.337034987,1.337034987
défier,18,47,-1.337034987,1.337034987
emprunt,18,47,-1.337034987,1.337034987
museler,18,47,-1.337034987,1.337034987
sociologue,47,18,1.337034987,1.337034987
afghanistan,39,100,-1.336283388,1.336283388
existentiel,22,57,-1.334419039,1.334419039
vall,62,24,1.333423734,1.333423734
mobiliser,397,157,1.332843872,1.332843872
hongrie,26,67,-1.332575339,1.332575339
pcf,135,53,1.332575339,1.332575339
mlp,63,160,-1.330916878,1.330916878
mafieux,36,92,-1.329705445,1.329705445
pause,102,40,1.328948523,1.328948523
compatriote,46,117,-1.328054198,1.328054198
😝,64,162,-1.326360341,1.326360341
🥲,182,72,1.325875279,1.325875279
saint,267,670,-1.324079766,1.324079766
francfort,14,5,1.321928095,1.321928095
benef,9,3,1.321928095,1.321928095
perplexity,9,3,1.321928095,1.321928095
bou,14,5,1.321928095,1.321928095
marié,9,3,1.321928095,1.321928095
chrono,9,3,1.321928095,1.321928095
rib,9,3,1.321928095,1.321928095
doué,69,27,1.321928095,1.321928095
gillet,9,3,1.321928095,1.321928095
tabouret,9,3,1.321928095,1.321928095
caire,9,3,1.321928095,1.321928095
bombardement,119,47,1.321928095,1.321928095
brancher,14,5,1.321928095,1.321928095
gifler,14,5,1.321928095,1.321928095
tps,9,3,1.321928095,1.321928095
shoot,19,7,1.321928095,1.321928095
ob,19,7,1.321928095,1.321928095
chauffe,14,5,1.321928095,1.321928095
observatoire,49,19,1.321928095,1.321928095
excitant,9,3,1.321928095,1.321928095
euhhh,9,3,1.321928095,1.321928095
savoyard,9,3,1.321928095,1.321928095
abuse,9,3,1.321928095,1.321928095
imane,14,5,1.321928095,1.321928095
licra,19,7,1.321928095,1.321928095
émilie,14,5,1.321928095,1.321928095
délibération,9,3,1.321928095,1.321928095
périgueux,9,3,1.321928095,1.321928095
brian,9,3,1.321928095,1.321928095
périph,9,3,1.321928095,1.321928095
florilège,14,5,1.321928095,1.321928095
étang,9,3,1.321928095,1.321928095
technicien,34,13,1.321928095,1.321928095
bloqu,9,3,1.321928095,1.321928095
financiarisation,9,3,1.321928095,1.321928095
supremaciste,9,3,1.321928095,1.321928095
high,14,5,1.321928095,1.321928095
menstruel,9,3,1.321928095,1.321928095
deception,9,3,1.321928095,1.321928095
naulleau,24,9,1.321928095,1.321928095
op,14,5,1.321928095,1.321928095
soumise,9,3,1.321928095,1.321928095
semelle,9,3,1.321928095,1.321928095
externe,29,11,1.321928095,1.321928095
périlleux,9,3,1.321928095,1.321928095
tet,9,3,1.321928095,1.321928095
sobriété,19,7,1.321928095,1.321928095
pédagogue,9,3,1.321928095,1.321928095
schmidt,9,3,1.321928095,1.321928095
minimisation,9,3,1.321928095,1.321928095
anal,19,7,1.321928095,1.321928095
septième,9,3,1.321928095,1.321928095
abaya,19,7,1.321928095,1.321928095
csa,14,5,1.321928095,1.321928095
arafat,9,3,1.321928095,1.321928095
violet,19,7,1.321928095,1.321928095
farmer,9,3,1.321928095,1.321928095
fuerer,9,3,1.321928095,1.321928095
entrainement,14,5,1.321928095,1.321928095
steven,9,3,1.321928095,1.321928095
dotation,14,5,1.321928095,1.321928095
riviera,9,3,1.321928095,1.321928095
uc,9,3,1.321928095,1.321928095
🌧,14,5,1.321928095,1.321928095
golfe,24,9,1.321928095,1.321928095
spa,19,7,1.321928095,1.321928095
eelv,179,71,1.321928095,1.321928095
camarad,14,5,1.321928095,1.321928095
portail,39,15,1.321928095,1.321928095
hec,9,3,1.321928095,1.321928095
sc,9,3,1.321928095,1.321928095
pqr,14,5,1.321928095,1.321928095
malakoff,9,3,1.321928095,1.321928095
poto,34,13,1.321928095,1.321928095
gégé,9,3,1.321928095,1.321928095
cler,24,9,1.321928095,1.321928095
dia,14,5,1.321928095,1.321928095
épuisant,19,7,1.321928095,1.321928095
parkinson,9,3,1.321928095,1.321928095
dynamiser,9,3,1.321928095,1.321928095
rediriger,14,5,1.321928095,1.321928095
migraine,9,3,1.321928095,1.321928095
croquette,14,5,1.321928095,1.321928095
btw,9,3,1.321928095,1.321928095
comics,9,3,1.321928095,1.321928095
franquiste,9,3,1.321928095,1.321928095
corrélation,14,5,1.321928095,1.321928095
rock'n'roll,14,5,1.321928095,1.321928095
ohh,9,3,1.321928095,1.321928095
dépénalisation,9,3,1.321928095,1.321928095
éboueur,14,5,1.321928095,1.321928095
one,94,37,1.321928095,1.321928095
uruguay,9,3,1.321928095,1.321928095
velo,9,3,1.321928095,1.321928095
bullshit,34,13,1.321928095,1.321928095
chiant,69,27,1.321928095,1.321928095
publi,9,3,1.321928095,1.321928095
cosplay,9,3,1.321928095,1.321928095
parlerai,14,5,1.321928095,1.321928095
landerneau,9,3,1.321928095,1.321928095
diplômer,9,3,1.321928095,1.321928095
urbanisme,14,5,1.321928095,1.321928095
courroie,14,5,1.321928095,1.321928095
tantinet,9,3,1.321928095,1.321928095
réutilisable,9,3,1.321928095,1.321928095
design,54,21,1.321928095,1.321928095
bernier,3,9,-1.321928095,1.321928095
pistolet,7,19,-1.321928095,1.321928095
méditation,11,29,-1.321928095,1.321928095
relique,3,9,-1.321928095,1.321928095
pieu,3,9,-1.321928095,1.321928095
interventionnisme,3,9,-1.321928095,1.321928095
résurgence,3,9,-1.321928095,1.321928095
pédé,3,9,-1.321928095,1.321928095
hostile,27,69,-1.321928095,1.321928095
fécond,5,14,-1.321928095,1.321928095
boxeur,7,19,-1.321928095,1.321928095
macrotte,7,19,-1.321928095,1.321928095
infecter,3,9,-1.321928095,1.321928095
délibérer,3,9,-1.321928095,1.321928095
promulguer,3,9,-1.321928095,1.321928095
ponctionner,15,39,-1.321928095,1.321928095
détérioration,3,9,-1.321928095,1.321928095
stater,9,24,-1.321928095,1.321928095
souk,3,9,-1.321928095,1.321928095
powell,5,14,-1.321928095,1.321928095
séquestration,5,14,-1.321928095,1.321928095
slave,5,14,-1.321928095,1.321928095
papefrançoi,7,19,-1.321928095,1.321928095
mordjene,3,9,-1.321928095,1.321928095
socialmedia,5,14,-1.321928095,1.321928095
messie,11,29,-1.321928095,1.321928095
prototype,5,14,-1.321928095,1.321928095
figé,5,14,-1.321928095,1.321928095
bbc,5,14,-1.321928095,1.321928095
criminalise,3,9,-1.321928095,1.321928095
lobotomiser,15,39,-1.321928095,1.321928095
ainé,5,14,-1.321928095,1.321928095
normalité,7,19,-1.321928095,1.321928095
révocation,3,9,-1.321928095,1.321928095
oblast,3,9,-1.321928095,1.321928095
stasi,3,9,-1.321928095,1.321928095
évader,7,19,-1.321928095,1.321928095
proverb,3,9,-1.321928095,1.321928095
marmite,3,9,-1.321928095,1.321928095
pfffff,7,19,-1.321928095,1.321928095
boost,5,14,-1.321928095,1.321928095
dignitaire,3,9,-1.321928095,1.321928095
soviétique,39,99,-1.321928095,1.321928095
peloton,7,19,-1.321928095,1.321928095
rebâtir,3,9,-1.321928095,1.321928095
traçabilité,3,9,-1.321928095,1.321928095
guenolé,3,9,-1.321928095,1.321928095
tache,23,59,-1.321928095,1.321928095
revaloriser,5,14,-1.321928095,1.321928095
hyène,25,64,-1.321928095,1.321928095
veuve,7,19,-1.321928095,1.321928095
épatant,3,9,-1.321928095,1.321928095
ogive,3,9,-1.321928095,1.321928095
sophistiquer,3,9,-1.321928095,1.321928095
pietro,3,9,-1.321928095,1.321928095
tartine,3,9,-1.321928095,1.321928095
graisse,7,19,-1.321928095,1.321928095
interprète,5,14,-1.321928095,1.321928095
marechal,3,9,-1.321928095,1.321928095
ingratitude,5,14,-1.321928095,1.321928095
acabit,7,19,-1.321928095,1.321928095
mollusque,3,9,-1.321928095,1.321928095
écologisme,3,9,-1.321928095,1.321928095
lamenter,3,9,-1.321928095,1.321928095
corinne,5,14,-1.321928095,1.321928095
agité,3,9,-1.321928095,1.321928095
ravissant,3,9,-1.321928095,1.321928095
déconnectée,3,9,-1.321928095,1.321928095
exaucer,3,9,-1.321928095,1.321928095
serpent,15,39,-1.321928095,1.321928095
dominateur,3,9,-1.321928095,1.321928095
pcc,5,14,-1.321928095,1.321928095
méritant,3,9,-1.321928095,1.321928095
tempérament,3,9,-1.321928095,1.321928095
exquis,3,9,-1.321928095,1.321928095
peuplement,3,9,-1.321928095,1.321928095
connotation,5,14,-1.321928095,1.321928095
🦍,3,9,-1.321928095,1.321928095
confiscatoire,3,9,-1.321928095,1.321928095
tanche,3,9,-1.321928095,1.321928095
eve,3,9,-1.321928095,1.321928095
indéniablement,5,14,-1.321928095,1.321928095
instinct,19,49,-1.321928095,1.321928095
condamnable,15,39,-1.321928095,1.321928095
trucider,3,9,-1.321928095,1.321928095
brasser,13,34,-1.321928095,1.321928095
roc,3,9,-1.321928095,1.321928095
maraude,3,9,-1.321928095,1.321928095
faye,5,14,-1.321928095,1.321928095
décérébré,11,29,-1.321928095,1.321928095
menotte,3,9,-1.321928095,1.321928095
commanditaire,5,14,-1.321928095,1.321928095
télévisuel,3,9,-1.321928095,1.321928095
terreur,39,99,-1.321928095,1.321928095
indécrottable,3,9,-1.321928095,1.321928095
embellir,5,14,-1.321928095,1.321928095
lard,3,9,-1.321928095,1.321928095
énarque,5,14,-1.321928095,1.321928095
fico,3,9,-1.321928095,1.321928095
motard,9,24,-1.321928095,1.321928095
patenter,5,14,-1.321928095,1.321928095
pharmaceutique,19,49,-1.321928095,1.321928095
appartenance,23,59,-1.321928095,1.321928095
moraline,3,9,-1.321928095,1.321928095
garderie,3,9,-1.321928095,1.321928095
⭕,5,14,-1.321928095,1.321928095
tumeur,5,14,-1.321928095,1.321928095
pinocchio,3,9,-1.321928095,1.321928095
musulman,1161,2903,-1.321431385,1.321431385
occident,142,356,-1.319908927,1.319908927
misogyne,71,28,1.311944006,1.311944006
aliénation,71,28,1.311944006,1.311944006
rendez-vous,314,126,1.310523332,1.310523332
humanitaire,123,49,1.310340121,1.310340121
voyageur,61,24,1.310340121,1.310340121
kiev,43,108,-1.308752706,1.308752706
ducon,20,51,-1.308122295,1.308122295
hébergement,51,20,1.308122295,1.308122295
enceinte,18,46,-1.306661338,1.306661338
star,187,75,1.306661338,1.306661338
gg,41,16,1.304854582,1.304854582
transgenre,16,41,-1.304854582,1.304854582
bitcoin,31,78,-1.303780748,1.303780748
rs,36,14,1.30256277,1.30256277
masterclas,36,14,1.30256277,1.30256277
nn,36,14,1.30256277,1.30256277
funeste,14,36,-1.30256277,1.30256277
collage,14,36,-1.30256277,1.30256277
mœur,14,36,-1.30256277,1.30256277
prêcher,14,36,-1.30256277,1.30256277
valentin,31,12,1.299560282,1.299560282
thématique,31,12,1.299560282,1.299560282
sorcier,12,31,-1.299560282,1.299560282
relativiser,31,12,1.299560282,1.299560282
cocu,12,31,-1.299560282,1.299560282
défensif,31,12,1.299560282,1.299560282
tutelle,23,58,-1.297680549,1.297680549
drogué,23,58,-1.297680549,1.297680549
parasite,113,279,-1.296393003,1.296393003
typiquement,26,10,1.295455884,1.295455884
clinton,10,26,-1.295455884,1.295455884
wait,26,10,1.295455884,1.295455884
migrer,26,10,1.295455884,1.295455884
alexandra,10,26,-1.295455884,1.295455884
calvaire,19,48,-1.292781749,1.292781749
ticket,97,39,1.292781749,1.292781749
effondrement,59,146,-1.292781749,1.292781749
assimilation,19,48,-1.292781749,1.292781749
plateforme,256,104,1.291379032,1.291379032
jésus,111,273,-1.290677161,1.290677161
usurper,21,8,1.289506617,1.289506617
♻,21,8,1.289506617,1.289506617
shein,21,8,1.289506617,1.289506617
insertion,21,8,1.289506617,1.289506617
ultramarin,21,8,1.289506617,1.289506617
sabrina,21,8,1.289506617,1.289506617
enjoy,21,8,1.289506617,1.289506617
composant,21,8,1.289506617,1.289506617
finito,43,17,1.289506617,1.289506617
recueillement,8,21,-1.289506617,1.289506617
vandaliser,8,21,-1.289506617,1.289506617
😰,44,109,-1.289506617,1.289506617
aéronautique,8,21,-1.289506617,1.289506617
découpe,8,21,-1.289506617,1.289506617
inactif,8,21,-1.289506617,1.289506617
🙋,8,21,-1.289506617,1.289506617
baratin,8,21,-1.289506617,1.289506617
partition,8,21,-1.289506617,1.289506617
germanique,8,21,-1.289506617,1.289506617
merdier,8,21,-1.289506617,1.289506617
générateur,8,21,-1.289506617,1.289506617
sanglant,8,21,-1.289506617,1.289506617
fiché,8,21,-1.289506617,1.289506617
🖤,82,33,1.28757659,1.28757659
mortel,33,82,-1.28757659,1.28757659
milice,58,143,-1.287281952,1.287281952
ivoire,38,15,1.285402219,1.285402219
renault,38,15,1.285402219,1.285402219
nationaliste,61,150,-1.284208429,1.284208429
conservateur,75,184,-1.283453947,1.283453947
assassinat,80,196,-1.282201817,1.282201817
cotiser,48,118,-1.280107919,1.280107919
rapatrier,13,33,-1.280107919,1.280107919
endoctriné,6,16,-1.280107919,1.280107919
nemesis,6,16,-1.280107919,1.280107919
bénir,20,50,-1.280107919,1.280107919
caverne,6,16,-1.280107919,1.280107919
submerger,13,33,-1.280107919,1.280107919
horde,13,33,-1.280107919,1.280107919
menthe,6,16,-1.280107919,1.280107919
narcissisme,6,16,-1.280107919,1.280107919
commencement,6,16,-1.280107919,1.280107919
synagogue,20,50,-1.280107919,1.280107919
sauvagement,6,16,-1.280107919,1.280107919
securite,6,16,-1.280107919,1.280107919
atterrissage,6,16,-1.280107919,1.280107919
gogole,6,16,-1.280107919,1.280107919
🍺,6,16,-1.280107919,1.280107919
prosterner,6,16,-1.280107919,1.280107919
perse,6,16,-1.280107919,1.280107919
périmètre,16,6,1.280107919,1.280107919
archi,33,13,1.280107919,1.280107919
ré,16,6,1.280107919,1.280107919
enchère,16,6,1.280107919,1.280107919
hivernal,16,6,1.280107919,1.280107919
snapchat,16,6,1.280107919,1.280107919
élitiste,16,6,1.280107919,1.280107919
yo,16,6,1.280107919,1.280107919
rep,33,13,1.280107919,1.280107919
supposé,16,6,1.280107919,1.280107919
golden,16,6,1.280107919,1.280107919
tueur,72,176,-1.277780991,1.277780991
netanyahou,125,51,1.276840205,1.276840205
😏,217,527,-1.276209795,1.276209795
ras,49,120,-1.275007047,1.275007047
partiellement,11,28,-1.273018494,1.273018494
pendule,11,28,-1.273018494,1.273018494
caucasien,11,28,-1.273018494,1.273018494
froc,11,28,-1.273018494,1.273018494
vestiaire,28,11,1.273018494,1.273018494
dissoudre,88,214,-1.272459419,1.272459419
ouf,197,81,1.271804615,1.271804615
aurore,69,28,1.271302022,1.271302022
comédien,45,110,-1.27085391,1.27085391
marianne,40,16,1.270089163,1.270089163
talmud,81,33,1.270089163,1.270089163
prospérer,16,40,-1.270089163,1.270089163
go,187,77,1.269186633,1.269186633
intermédiaire,21,52,-1.268488836,1.268488836
passionnant,170,70,1.268105395,1.268105395
addiction,64,26,1.267480311,1.267480311
groupuscule,26,64,-1.267480311,1.267480311
délirant,31,76,-1.266786541,1.266786541
⚖,36,88,-1.266280065,1.266280065
tweet,1224,509,1.264212597,1.264212597
bezo,11,4,1.263034406,1.263034406
hacker,4,11,-1.263034406,1.263034406
lucien,11,4,1.263034406,1.263034406
hell,11,4,1.263034406,1.263034406
urs,4,11,-1.263034406,1.263034406
fermement,24,59,-1.263034406,1.263034406
giga-octet,11,4,1.263034406,1.263034406
cinoche,4,11,-1.263034406,1.263034406
abba,4,11,-1.263034406,1.263034406
suis,11,4,1.263034406,1.263034406
lc,4,11,-1.263034406,1.263034406
bail,59,24,1.263034406,1.263034406
tortue,4,11,-1.263034406,1.263034406
ccr,4,11,-1.263034406,1.263034406
détritus,4,11,-1.263034406,1.263034406
coussin,11,4,1.263034406,1.263034406
gw,4,11,-1.263034406,1.263034406
defi,11,4,1.263034406,1.263034406
lover,71,29,1.263034406,1.263034406
microbe,4,11,-1.263034406,1.263034406
night,11,4,1.263034406,1.263034406
idéau,9,23,-1.263034406,1.263034406
lausanne,11,4,1.263034406,1.263034406
pilier,29,71,-1.263034406,1.263034406
cea,11,4,1.263034406,1.263034406
équateur,11,4,1.263034406,1.263034406
justiciable,11,4,1.263034406,1.263034406
guillemet,23,9,1.263034406,1.263034406
victimaire,4,11,-1.263034406,1.263034406
tiktokeur,4,11,-1.263034406,1.263034406
ceinture,34,83,-1.263034406,1.263034406
wallet,11,4,1.263034406,1.263034406
redemption,11,4,1.263034406,1.263034406
deteste,11,4,1.263034406,1.263034406
fossoyeur,29,71,-1.263034406,1.263034406
martyre,4,11,-1.263034406,1.263034406
aspirateur,11,4,1.263034406,1.263034406
confrère,71,29,1.263034406,1.263034406
frontiere,4,11,-1.263034406,1.263034406
chiale,4,11,-1.263034406,1.263034406
lorrain,14,35,-1.263034406,1.263034406
retrouvaille,11,4,1.263034406,1.263034406
fsb,4,11,-1.263034406,1.263034406
hooligan,11,4,1.263034406,1.263034406
nadine,4,11,-1.263034406,1.263034406
inépuisable,4,11,-1.263034406,1.263034406
flotter,4,11,-1.263034406,1.263034406
adultère,4,11,-1.263034406,1.263034406
entasser,11,4,1.263034406,1.263034406
largeur,4,11,-1.263034406,1.263034406
courageusement,4,11,-1.263034406,1.263034406
immaculé,4,11,-1.263034406,1.263034406
dissuasif,4,11,-1.263034406,1.263034406
méprise,9,23,-1.263034406,1.263034406
piaf,4,11,-1.263034406,1.263034406
degueu,11,4,1.263034406,1.263034406
vitinha,11,4,1.263034406,1.263034406
idiocratie,4,11,-1.263034406,1.263034406
ahmad,11,4,1.263034406,1.263034406
berne,29,71,-1.263034406,1.263034406
ravier,4,11,-1.263034406,1.263034406
pinault,11,4,1.263034406,1.263034406
unef,11,4,1.263034406,1.263034406
magouill,11,4,1.263034406,1.263034406
téhéran,11,4,1.263034406,1.263034406
liser,11,4,1.263034406,1.263034406
cruche,29,71,-1.263034406,1.263034406
meaux,4,11,-1.263034406,1.263034406
thérapie,47,19,1.263034406,1.263034406
manouchian,11,4,1.263034406,1.263034406
rallonge,11,4,1.263034406,1.263034406
djihadist,4,11,-1.263034406,1.263034406
récidiver,4,11,-1.263034406,1.263034406
mane,11,4,1.263034406,1.263034406
harcelement,11,4,1.263034406,1.263034406
clichy,11,4,1.263034406,1.263034406
glande,4,11,-1.263034406,1.263034406
said,11,4,1.263034406,1.263034406
audi,11,4,1.263034406,1.263034406
ouragan,4,11,-1.263034406,1.263034406
austerlitz,11,4,1.263034406,1.263034406
caraïbe,4,11,-1.263034406,1.263034406
baril,4,11,-1.263034406,1.263034406
review,11,4,1.263034406,1.263034406
angela,4,11,-1.263034406,1.263034406
impopularité,4,11,-1.263034406,1.263034406
ron,4,11,-1.263034406,1.263034406
droitarder,11,4,1.263034406,1.263034406
client,366,152,1.26224841,1.26224841
appartement,57,138,-1.260960078,1.260960078
maréchal,47,114,-1.26052755,1.26052755
vs,411,171,1.260235772,1.260235772
nante,161,387,-1.260062839,1.260062839
tkt,66,27,1.258734268,1.258734268
salopard,27,66,-1.258734268,1.258734268
mitterand,22,54,-1.257797757,1.257797757
redressement,17,42,-1.256339753,1.256339753
can,42,17,1.256339753,1.256339753
victimisation,48,116,-1.255654875,1.255654875
bombarde,30,12,1.253756592,1.253756592
acheteur,30,12,1.253756592,1.253756592
confisquer,12,30,-1.253756592,1.253756592
tricolore,12,30,-1.253756592,1.253756592
baleine,30,12,1.253756592,1.253756592
metz,30,12,1.253756592,1.253756592
acceptation,12,30,-1.253756592,1.253756592
⏰,30,12,1.253756592,1.253756592
mystique,12,30,-1.253756592,1.253756592
destitution,59,142,-1.252980741,1.252980741
balai,20,49,-1.251538767,1.251538767
antifa,62,149,-1.251538767,1.251538767
documentaire,244,102,1.250137412,1.250137412
donneur,44,106,-1.24961389,1.24961389
caste,60,144,-1.249171752,1.249171752
littéralement,239,100,1.248679113,1.248679113
cloche,23,56,-1.247927513,1.247927513
malveillance,7,18,-1.247927513,1.247927513
piper,7,18,-1.247927513,1.247927513
contaminé,7,18,-1.247927513,1.247927513
dissimulation,7,18,-1.247927513,1.247927513
bendit,7,18,-1.247927513,1.247927513
précommande,7,18,-1.247927513,1.247927513
gogol,7,18,-1.247927513,1.247927513
racketter,7,18,-1.247927513,1.247927513
dystopiqu,7,18,-1.247927513,1.247927513
industrialisation,7,18,-1.247927513,1.247927513
haver,7,18,-1.247927513,1.247927513
travestir,7,18,-1.247927513,1.247927513
impulsion,7,18,-1.247927513,1.247927513
equipe,37,15,1.247927513,1.247927513
pre,18,7,1.247927513,1.247927513
maitrise,18,7,1.247927513,1.247927513
ibrahim,18,7,1.247927513,1.247927513
line,18,7,1.247927513,1.247927513
dany,18,7,1.247927513,1.247927513
ss,113,47,1.247927513,1.247927513
matos,18,7,1.247927513,1.247927513
dakar,18,7,1.247927513,1.247927513
pollueur,18,7,1.247927513,1.247927513
haie,18,7,1.247927513,1.247927513
antillais,18,7,1.247927513,1.247927513
flemme,37,15,1.247927513,1.247927513
↘,18,7,1.247927513,1.247927513
🤢,232,552,-1.246949526,1.246949526
olympique,184,77,1.245979242,1.245979242
🚩,44,18,1.243925583,1.243925583
funéraille,18,44,-1.243925583,1.243925583
assassin,105,250,-1.243623099,1.243623099
kabylie,10,25,-1.2410081,1.2410081
supplier,25,10,1.2410081,1.2410081
timide,25,10,1.2410081,1.2410081
tweeter,91,38,1.238159737,1.238159737
ceremoniedouverture,32,13,1.237039197,1.237039197
convocation,32,13,1.237039197,1.237039197
🫶🏼,32,13,1.237039197,1.237039197
tramway,32,13,1.237039197,1.237039197
hlm,27,65,-1.237039197,1.237039197
adorateur,13,32,-1.237039197,1.237039197
palestin,152,64,1.23502003,1.23502003
aphatie,16,39,-1.234465254,1.234465254
dégage,16,39,-1.234465254,1.234465254
cortège,79,33,1.234465254,1.234465254
barnier,206,87,1.234055339,1.234055339
jouir,19,46,-1.232660757,1.232660757
bayroudemission,46,19,1.232660757,1.232660757
chaos,125,295,-1.232173442,1.232173442
prospérité,22,53,-1.231325546,1.231325546
🔽,22,53,-1.231325546,1.231325546
psychiatrique,48,114,-1.230780207,1.230780207
troupe,54,128,-1.229867542,1.229867542
duo,67,28,1.229481846,1.229481846
😆,134,315,-1.226965151,1.226965151
‼️,93,219,-1.226770862,1.226770862
🏴,165,70,1.225292312,1.225292312
ukrain,88,207,-1.224706287,1.224706287
femen,2,6,-1.222392421,1.222392421
baseball,2,6,-1.222392421,1.222392421
nbre,13,5,1.222392421,1.222392421
gouter,6,2,1.222392421,1.222392421
🦀,6,2,1.222392421,1.222392421
neuronal,6,2,1.222392421,1.222392421
diffamé,6,2,1.222392421,1.222392421
ufc,20,8,1.222392421,1.222392421
dévoyer,14,34,-1.222392421,1.222392421
leboeuf,2,6,-1.222392421,1.222392421
prescripteur,6,2,1.222392421,1.222392421
crapuleux,2,6,-1.222392421,1.222392421
dora,2,6,-1.222392421,1.222392421
inexpliqué,2,6,-1.222392421,1.222392421
purgatoire,2,6,-1.222392421,1.222392421
croître,14,34,-1.222392421,1.222392421
extrapolation,6,2,1.222392421,1.222392421
maxwell,2,6,-1.222392421,1.222392421
ratisser,2,6,-1.222392421,1.222392421
vampiriser,2,6,-1.222392421,1.222392421
👟,6,2,1.222392421,1.222392421
racoler,2,6,-1.222392421,1.222392421
nie,6,2,1.222392421,1.222392421
ouaip,6,2,1.222392421,1.222392421
anagramme,6,2,1.222392421,1.222392421
verité,5,13,-1.222392421,1.222392421
gobe,6,2,1.222392421,1.222392421
étiqueté,2,6,-1.222392421,1.222392421
yohan,2,6,-1.222392421,1.222392421
apolline,2,6,-1.222392421,1.222392421
insuffisamment,2,6,-1.222392421,1.222392421
sylvano,2,6,-1.222392421,1.222392421
gu,2,6,-1.222392421,1.222392421
recevable,6,2,1.222392421,1.222392421
râleur,6,2,1.222392421,1.222392421
brusque,2,6,-1.222392421,1.222392421
picard,6,2,1.222392421,1.222392421
pad,6,2,1.222392421,1.222392421
romance,13,5,1.222392421,1.222392421
wikileak,6,2,1.222392421,1.222392421
déteindre,2,6,-1.222392421,1.222392421
fass,6,2,1.222392421,1.222392421
trahie,2,6,-1.222392421,1.222392421
jdnews,2,6,-1.222392421,1.222392421
indulgence,5,13,-1.222392421,1.222392421
voûte,5,13,-1.222392421,1.222392421
factice,5,13,-1.222392421,1.222392421
ciseau,5,13,-1.222392421,1.222392421
milite,2,6,-1.222392421,1.222392421
sabatier,2,6,-1.222392421,1.222392421
kound,6,2,1.222392421,1.222392421
docilement,2,6,-1.222392421,1.222392421
oops,6,2,1.222392421,1.222392421
modeler,2,6,-1.222392421,1.222392421
récréation,8,20,-1.222392421,1.222392421
professer,2,6,-1.222392421,1.222392421
roumani,2,6,-1.222392421,1.222392421
librement,32,76,-1.222392421,1.222392421
ernst,2,6,-1.222392421,1.222392421
ren,2,6,-1.222392421,1.222392421
crew,2,6,-1.222392421,1.222392421
capitole,20,8,1.222392421,1.222392421
butte,2,6,-1.222392421,1.222392421
ope,2,6,-1.222392421,1.222392421
reporterre,6,2,1.222392421,1.222392421
famoso,6,2,1.222392421,1.222392421
référencement,6,2,1.222392421,1.222392421
giro,6,2,1.222392421,1.222392421
nyc,6,2,1.222392421,1.222392421
fdj,6,2,1.222392421,1.222392421
timing,34,14,1.222392421,1.222392421
chir,6,2,1.222392421,1.222392421
bundle,2,6,-1.222392421,1.222392421
crie,2,6,-1.222392421,1.222392421
appli,139,59,1.222392421,1.222392421
etonnant,8,20,-1.222392421,1.222392421
pavoiser,2,6,-1.222392421,1.222392421
esquisse,6,2,1.222392421,1.222392421
orléan,8,20,-1.222392421,1.222392421
titré,6,2,1.222392421,1.222392421
ser,6,2,1.222392421,1.222392421
ytb,6,2,1.222392421,1.222392421
abser,6,2,1.222392421,1.222392421
rectrice,6,2,1.222392421,1.222392421
effervescence,6,2,1.222392421,1.222392421
dépravé,5,13,-1.222392421,1.222392421
kafkaïen,2,6,-1.222392421,1.222392421
chromosome,11,27,-1.222392421,1.222392421
bellanger,6,2,1.222392421,1.222392421
outrage,5,13,-1.222392421,1.222392421
dressage,2,6,-1.222392421,1.222392421
silencieusement,2,6,-1.222392421,1.222392421
vacataire,6,2,1.222392421,1.222392421
correctionnelle,6,2,1.222392421,1.222392421
khamenei,6,2,1.222392421,1.222392421
carrefour,55,23,1.222392421,1.222392421
inadapter,13,5,1.222392421,1.222392421
envelopper,6,2,1.222392421,1.222392421
atlantic,2,6,-1.222392421,1.222392421
hayot,6,2,1.222392421,1.222392421
hoffman,6,2,1.222392421,1.222392421
admirateur,8,20,-1.222392421,1.222392421
kendrick,6,2,1.222392421,1.222392421
abbas,2,6,-1.222392421,1.222392421
résidentiel,13,5,1.222392421,1.222392421
bayeux,2,6,-1.222392421,1.222392421
explique,6,2,1.222392421,1.222392421
cabine,20,8,1.222392421,1.222392421
valence,34,14,1.222392421,1.222392421
interactif,20,8,1.222392421,1.222392421
eza,6,2,1.222392421,1.222392421
upgrade,6,2,1.222392421,1.222392421
zizou,13,5,1.222392421,1.222392421
naturalisation,5,13,-1.222392421,1.222392421
